,0
2031,1598271
2032,1598257
2033,1598253
2034,1598235
2035,1598195
2036,1598089
2037,1598083
2038,1598069
2039,1598045
2040,1598043
2041,1597901
2042,1597864
2043,1597750
2044,1597743
2045,1597694
2046,1597647
2047,1597615
2048,1597601
2049,1597597
2050,1597583
2051,1597504
2052,1597495
2053,1597475
2054,1597456
2055,1597443
2056,1597417
2057,1597353
2058,1597292
2059,1597266
2060,1597250
2061,1597223
2062,1597200
2063,1597192
2064,1597124
2065,1596939
2066,1596924
2067,1596873
2068,1596644
2069,1596573
2070,1596564
2071,1596552
2072,1596529
2073,1596510
2074,1596474
2075,1596469
2076,1596440
2077,1596437
2078,1596429
2079,1596422
2080,1596389
2081,1596382
2082,1596376
2083,1596369
2084,1596350
2085,1596344
2086,1596343
2087,1596282
2088,1596275
2089,1596257
2090,1596243
2091,1596242
2092,1596240
2093,1596164
2094,1596154
2095,1596144
2096,1596100
2097,1596089
2098,1596084
2099,1596083
2100,1596079
2101,1596047
2102,1596035
2103,1596024
2104,1596008
2105,1595985
2106,1595961
2107,1595933
2108,1595892
2109,1595858
2110,1595856
2111,1595839
2112,1595762
2113,1595740
2114,1595621
2115,1595522
2116,1595430
2117,1595386
2118,1595363
2119,1595276
2120,1595231
2121,1595204
2122,1595032
2123,1595023
2124,1595019
2125,1594972
2126,1594943
2127,1594927
2128,1594919
2129,1594881
2130,1594794
2131,1594786
2132,1594782
2133,1594776
2134,1594771
2135,1594745
2136,1594678
2137,1594648
2138,1594607
